2|1|Course A2|Richard Robinson|49168|316361_727_Richard Robinson||12:48|33;50;119;136;161;219;248;268;291;309;359;383;422;468;512;549;577;659;669;679;702;723;742;758;768
3|2|Course A1|Robert Gardner|48269|194653_669_Robert Gardner||13:11|28;47;70;88;148;171;184;252;273;295;357;385;429;461;509;554;589;668;681;693;716;742;768;782;791
4|1|Course A2|Huw Stradling|48327|448841_684_Huw Stradling||13:29|31;53;121;138;162;220;246;266;291;312;363;392;422;460;506;551;591;672;684;695;717;741;766;800;809
5|1|Course A2|Chris Young|47126|456944_156_Chris Young||13:36|30;47;115;134;158;226;254;274;300;320;373;397;429;467;517;574;603;695;707;720;752;776;795;808;816
6|1|Course A2|Christopher MacKenzie|47487|457721_251_Christopher MacKenzie||13:44|35;49;120;137;160;225;254;274;299;320;378;405;439;473;524;573;609;702;713;733;758;780;804;814;824
7|1|Course A2|Quentin Harding|50307|393101_321_Quentin Harding||13:52|30;50;125;144;169;235;263;284;309;339;391;422;452;484;533;571;609;694;707;722;748;771;795;821;832
8|2|Course A1|Ciaran Allen|47967|396323_545_Ciaran Allen||13:57|31;58;79;100;159;185;201;286;305;331;399;430;462;499;550;590;625;722;733;744;767;789;811;824;837
9|2|Course A1|James Taylor|47727|450031_235_James Taylor||13:57|32;58;84;103;153;177;204;282;307;329;399;426;464;514;561;595;626;704;716;727;753;775;798;825;837
10|1|Course A2|Adam Potter|45927|363933_494_Adam Potter||14:04|32;51;126;146;170;254;283;305;329;350;405;433;469;506;555;605;630;719;731;744;768;793;820;834;844
11|2|Course A1|Todd Oates|51177|203035_652_Todd Oates||14:05|27;71;96;115;166;193;211;281;299;325;393;420;455;485;530;567;600;683;694;712;736;759;780;833;845
12|1|Course A2|Carl Edmonds|47247|456501_25_Carl Edmonds||14:11|30;47;118;134;157;221;248;272;295;314;364;395;438;477;528;580;611;706;731;755;782;806;828;841;851
13|1|Course A2|Robert Kelly|48027|447741_394_Robert Kelly||14:14|32;54;124;142;168;235;265;288;313;334;389;417;458;497;551;596;633;720;736;749;775;799;825;843;854
14|1|Course A2|Jonathan Malley|47366|433451_106_Jonathan Malley||14:19|29;47;117;134;156;225;251;274;297;321;382;406;438;472;518;578;607;689;702;716;741;764;815;849;859
15|2|Course A1|Yasha Chechik|48146|462533_619_Yasha Chechik||14:24|33;66;96;116;173;201;216;300;321;345;412;443;477;511;565;610;647;740;752;764;789;813;833;852;864
16|2|Course A1|Thomas Louth|47427|410595_44_Thomas Louth||14:25|31;64;107;128;189;213;229;302;320;347;413;441;473;525;571;610;644;723;741;766;790;825;846;856;865
17|1|Course A2|Chris Owens|47668|455294_150_Chris Owens||14:35|31;49;129;148;174;248;281;304;332;354;420;446;478;511;568;614;645;734;748;759;785;816;845;860;875
18|2|Course A1|Olly Williams|46827|177700_770_Olly Williams||14:41|29;50;73;101;150;177;194;269;287;309;374;406;441;478;529;595;623;712;755;766;790;815;855;869;881
19|2|Course A1|Kristopher Smith|50158|184007_801_Kristopher Smith||14:42|30;58;81;135;199;223;244;311;330;353;420;449;481;520;569;603;629;721;732;751;775;798;823;872;882
20|2|Course A1|Matthew Penellum|47067|457061_10_Matthew Penellum||14:47|33;57;82;101;156;183;201;276;295;324;390;421;462;504;557;630;657;755;789;800;825;847;866;876;887
21|2|Course A1|Paul Thornton|50817|409271_20_Paul Thornton||14:50|34;54;79;101;164;190;205;287;306;330;397;430;465;505;557;603;638;731;745;758;783;811;838;879;890
22|1|Course A2|Harrison McCartney|5489|_9999_Harrison McCartney||14:55|32;54;135;154;181;251;283;304;329;351;410;439;473;508;564;600;630;727;740;755;783;811;839;883;895
23|2|Course A1|Andrew Lindsay|47607|451394_96_Andrew Lindsay||15:00|36;59;86;107;175;202;220;311;332;360;434;467;503;540;595;638;669;774;786;799;825;850;874;890;900
24|2|Course A1|Nigel Wright|5217|478192_63_Nigel Wright||15:09|46;97;120;142;197;225;252;326;346;371;437;468;500;550;599;644;673;763;777;790;815;851;872;895;909
25|1|Course A2|Andrew Dalgleish|50607|428571_606_Andrew Dalgleish||15:15|39;56;130;149;175;242;274;295;323;346;404;431;464;514;574;624;659;757;771;784;810;837;870;903;915
26|2|Course A1|Mark Saunders|7918|193181_527_Mark Saunders||15:18|34;78;107;132;190;221;240;323;342;369;441;474;511;546;596;632;670;764;777;790;815;840;864;906;918
27|1|Course A2|Matthias Kunz|6570|_10000_Matthias Kunz||15:23|35;68;139;156;183;258;287;320;345;389;444;472;544;578;628;657;685;778;792;806;831;855;882;912;923
28|1|Course A2|Jon Cross|51088|328742_402_Jon Cross||15:40|34;52;135;154;181;248;279;301;328;364;420;446;482;517;568;616;658;756;767;778;805;877;899;929;940
29|1|Course A2|Craig Nolan|46408|418674_409_Craig Nolan||15:48|36;54;145;163;188;266;297;319;347;389;450;477;510;544;596;634;667;767;780;804;829;853;878;933;948
30|1|Course A2|Alex McCann|46528|454263_194_Alex McCann||15:59|35;54;139;157;182;258;289;311;341;363;429;457;498;565;617;669;708;812;826;838;872;899;922;947;959
31|2|Course A1|Ian Maxwell|49857|426911_266_Ian Maxwell||16:03|37;60;92;122;177;203;219;312;331;365;432;462;496;532;583;633;669;780;799;821;853;882;915;953;963
32|2|Course A1|Alan Irving|50637|451451_392_Alan Irving||16:03|37;60;87;114;173;203;222;307;327;355;433;465;500;539;595;649;681;780;794;823;854;880;908;951;963
33|1|Course A2|Graeme Ross|8247|308212_576_Graeme Ross||16:06|44;73;149;171;206;282;317;344;375;404;462;489;524;563;616;670;700;801;822;835;867;898;937;954;966
34|2|Course A1|Samuel Horsewill|47187|107473_735_Samuel Horsewill||16:06|35;59;88;111;177;207;225;311;334;363;440;476;513;553;614;658;708;814;833;847;878;907;939;954;966
35|1|Course A2|Graham Louth|7468|410591_46_Graham Louth||16:08|31;50;129;149;177;252;284;311;343;393;452;482;517;555;615;664;697;821;834;857;886;915;948;959;968
36|1|Course A2|Mark Libby|7528|441916_360_Mark Libby||16:19|33;57;137;157;189;266;301;336;371;397;467;497;538;587;645;696;731;838;855;871;903;930;955;968;979
37|1|Course A2|Brian Ward|49529|128931_231_Brian Ward||16:24|46;74;164;185;212;288;321;344;373;396;453;483;530;566;619;661;703;798;810;825;856;881;908;971;984
38|2|Course A1|John Britton|50397|307031_2_John Britton||16:24|38;64;95;127;189;219;238;328;350;384;458;496;540;580;636;688;728;833;849;865;894;928;957;973;984
39|2|Course A1|Alistair Hindle|51358|206903_696_Alistair Hindle||16:28|37;78;109;132;195;223;244;328;349;375;454;494;549;589;649;697;751;851;863;882;908;934;961;977;988
40|1|Course A2|William Parkinson|46887|120183_751_William Parkinson||16:29|37;62;145;164;193;274;306;336;369;391;475;504;546;577;633;695;734;854;868;880;909;936;959;976;989
41|2|Course A1|Robert Moody|6597|_10005_Robert Moody||16:37|42;133;159;180;235;264;284;360;381;416;485;513;553;590;638;677;768;855;871;888;914;938;964;983;997
42|2|Course A1|Steve Hinshelwood|5938|417811_539_Steve Hinshelwood||16:41|39;69;94;117;176;208;238;340;363;394;467;504;553;591;659;699;728;839;855;872;904;934;963;990;1001
43|2|Course A1|Stephen Kimberley|48958|222351_695_Stephen Kimberley||16:42|36;61;93;119;182;215;241;338;358;386;470;508;549;590;646;704;741;842;862;882;911;941;965;987;1002
44|2|Course A1|Alistair Thornton|46347|323953_178_Alistair Thornton||16:43|42;72;102;128;196;225;247;346;367;397;477;510;547;591;648;703;742;846;860;879;909;952;976;992;1003
45|1|Course A2|Craig Thomson|47786|193242_122_Craig Thomson||16:47|31;49;128;150;179;252;284;310;342;365;435;470;516;555;613;672;722;827;842;856;884;911;942;997;1007
46|1|Course A2|Anthony Hall|5369|746982_628_Anthony Hall||16:47|37;60;138;161;199;272;302;325;353;382;438;466;506;545;593;642;680;798;817;831;863;896;947;996;1007
47|2|Course A1|Ian Ditchfield|8217|294071_700_Ian Ditchfield||16:49|36;74;102;129;190;222;246;340;362;391;466;500;539;579;637;688;723;825;867;880;907;934;985;996;1009
48|1|Course A2|Patrick Smyth|8573|_33_Patrick Smyth||16:50|36;56;143;168;201;276;317;343;372;401;485;515;553;597;655;693;736;831;852;880;930;955;979;996;1010
49|2|Course A1|Alasdair Wilson Craw|7324|168691_53_Alasdair Wilson Craw||16:53|43;74;103;129;190;225;248;332;352;384;495;525;561;621;668;722;754;847;861;878;904;932;962;1002;1013
50|2|Course A1|John Taylor|6538|397431_329_John Taylor||16:54|39;79;109;133;196;228;249;329;354;402;476;517;555;592;653;696;747;852;867;883;923;960;985;1002;1014
51|2|Course A1|Martin Skinner|7017|388082_457_Martin Skinner||17:02|36;60;87;111;187;217;241;326;349;386;461;494;530;565;617;667;697;792;803;821;848;872;897;1009;1022
52|1|Course A2|Joe Woodley|46169|315663_141_Joe Woodley||17:03|38;74;151;171;206;281;311;332;372;422;490;516;552;591;648;701;738;843;855;871;896;925;958;1012;1023
53|2|Course A1|Tony Thornley|7497|116341_419_Tony Thornley||17:06|45;72;102;128;194;230;255;352;376;422;499;537;579;629;689;740;767;878;892;907;937;966;994;1011;1026
54|2|Course A1|Paul Beresford|48538|430011_763_Paul Beresford||17:10|39;61;88;111;181;211;234;329;354;386;474;514;556;599;662;722;756;876;890;905;935;963;998;1017;1030
55|1|Course A2|Ryan Wilson|48207|127113_640_Ryan Wilson||17:13|32;53;130;154;184;275;304;327;377;400;465;497;537;581;642;710;750;898;910;926;952;980;1010;1022;1033
56|2|Course A1|Andrew Kelly|49557|128681_398_Andrew Kelly||17:15|40;63;96;120;186;226;248;339;362;393;477;513;553;593;655;719;754;861;875;891;924;953;988;1020;1035
57|1|Course A2|Eric Jong|6989|_10004_Eric Jong||17:19|35;53;141;160;192;268;304;331;366;389;454;484;528;570;629;680;711;844;856;868;895;963;982;1029;1039
58|1|Course A2|Iain Tebbutt|6029|336751_356_Iain Tebbutt||17:32|40;57;163;185;217;302;337;362;392;417;482;516;556;596;657;712;754;877;903;919;947;979;1005;1040;1052
59|1|Course A2|Andrew Evans|7769|178251_55_Andrew Evans||17:42|38;61;162;183;213;291;325;359;401;429;503;536;577;614;677;730;776;881;894;908;936;971;1005;1051;1062
60|2|Course A1|Adam Poole|6777|439942_421_Adam Poole||17:43|40;81;111;134;192;224;240;339;361;389;466;498;537;576;634;708;756;858;880;894;928;955;984;1052;1063
61|2|Course A1|Graham Watson|6060|463191_473_Graham Watson||17:45|40;65;98;128;198;240;259;349;372;406;492;529;573;619;685;750;787;906;923;940;972;1008;1042;1054;1065
62|2|Course A1|Neil Harvatt|51477|404941_213_Neil Harvatt||17:46|42;65;93;118;181;217;235;330;352;384;464;500;537;577;634;694;735;853;868;886;916;947;976;1029;1066
63|1|Course A2|Mike Hampton|5849|138181_341_Mike Hampton||17:55|40;61;155;177;211;290;328;356;394;420;488;523;570;609;673;733;785;902;918;937;968;1015;1048;1062;1075
64|2|Course A1|Matthew Fellbaum|45328|443255_164_Matthew Fellbaum||17:57|48;85;119;147;218;253;274;368;391;423;509;552;597;636;702;745;782;906;956;968;999;1027;1055;1066;1077
65|1|Course A2|Mike Pedley|5788|291871_507_Mike Pedley||18:06|41;69;161;181;214;286;323;353;386;415;476;507;545;584;639;696;734;836;851;871;909;936;971;1071;1086
66|2|Course A1|Paul McMillan|5277|463812_74_Paul McMillan||18:11|38;62;94;123;188;224;281;368;389;424;507;543;583;635;699;763;801;923;968;985;1015;1042;1069;1082;1091
67|2|Course A1|Richard Gardner|7736|194651_667_Richard Gardner||18:13|40;64;95;120;188;222;250;351;373;407;493;535;577;619;682;752;813;928;942;958;989;1018;1046;1079;1093
68|1|Course A2|Mark Thomson|5607|114571_120_Mark Thomson||18:18|35;61;154;178;210;297;340;366;399;426;500;533;586;630;694;753;801;934;950;971;1003;1035;1068;1082;1098
69|1|Course A2|Stephen Fellbaum|6929|443252_168_Stephen Fellbaum||18:20|42;64;158;181;212;301;344;376;408;444;518;555;600;643;713;760;803;914;934;959;990;1021;1050;1087;1100
70|2|Course A1|Nicholas Evans|6178|262232_335_Nicholas Evans||18:20|39;70;104;130;189;220;245;328;347;375;457;489;532;618;672;724;755;861;894;930;958;1000;1070;1087;1100
71|1|Course A2|Richard Spendlove|6207|451001_413_Richard Spendlove||18:25|50;79;162;185;220;303;340;376;405;435;492;522;559;603;658;722;763;877;898;917;955;996;1026;1089;1105
72|1|Course A2|Paul Boyles|8367|456031_533_Paul Boyles||18:37|35;103;188;211;240;337;376;407;443;471;550;587;635;683;751;796;837;965;980;996;1030;1058;1087;1105;1117
73|2|Course A1|Julian Warren|6297|331951_553_Julian Warren||18:38|41;71;109;139;209;242;270;386;412;441;524;561;606;658;721;783;820;926;942;961;999;1028;1054;1106;1118
74|1|Course A2|Crawford Lindsay|7709|451391_102_Crawford Lindsay||18:44|41;63;188;212;241;319;357;386;425;456;525;560;600;644;702;777;829;933;948;964;998;1036;1076;1112;1124
75|1|Course A2|Roger Scrutton|8007|295271_661_Roger Scrutton||18:56|44;65;158;183;216;295;333;360;398;448;526;562;609;669;725;787;826;941;989;1001;1032;1062;1095;1124;1136
76|2|Course A1|Peter Jones|5457|166212_380_Peter Jones||19:02|40;78;108;134;206;240;268;379;403;436;522;565;628;670;737;785;821;959;975;993;1027;1064;1107;1126;1142
77|1|Course A2|Tony Davies|8187|240451_364_Tony Davies||19:02|47;73;172;195;228;313;354;385;426;459;530;566;605;650;712;776;817;950;964;980;1012;1044;1077;1125;1142
78|1|Course A2|Andy Emmerson|6267|124001_94_Andy Emmerson||19:08|39;60;147;169;201;322;358;382;411;440;510;543;588;627;682;758;808;929;957;986;1016;1047;1081;1137;1148
79|1|Course A2|Andy Allen|6688|396321_548_Andy Allen||19:10|35;56;161;184;222;304;343;370;400;452;518;550;586;626;687;760;808;924;939;960;994;1038;1074;1137;1150
80|1|Course A2|Chris Littler|5550|461661_786_Chris Littler||19:10|47;68;163;190;234;320;366;411;442;473;554;591;638;684;756;813;860;992;1009;1026;1057;1088;1122;1134;1150
